20.000000	51
0.020001	0.004057	0.545802
0.049999	0.006279	0.498171
0.050001	0.359101	0.635411
0.095000	0.880208	0.882649
0.100000	0.329481	1.030819
0.135000	1.582116	0.863603
0.145000	2.320866	1.216881
0.150000	0.986881	0.924584
0.194999	1.713549	0.679980
0.195001	1.934109	0.644173
0.230000	2.053583	0.753705
0.244999	3.015784	1.251113
0.245000	1.475863	1.067267
0.294999	2.992246	1.229515
0.295001	1.219086	1.316850
0.344999	2.722416	1.048257
0.345000	1.357536	1.204824
0.394999	2.518024	0.791031
0.395000	1.827050	1.139293
0.405000	2.966289	0.950501
0.444999	2.533817	0.990152
0.445001	3.946244	1.397946
0.494999	2.534465	1.467892
0.495001	4.322853	1.694105
0.544999	2.481891	2.333883
0.545000	5.281746	2.110049
0.595000	6.846844	3.088282
0.595002	2.985710	4.245997
0.644999	3.642748	4.998644
0.645000	8.890731	3.905261
0.670001	10.226980	4.619084
0.695000	11.744660	4.713151
0.740001	12.762143	4.144577
0.744999	5.567411	5.621206
0.774999	7.502039	3.891898
0.790001	13.849394	5.380004
0.794999	7.937976	3.638270
0.840000	8.497505	3.975813
0.840001	13.979061	3.846239
0.890000	9.301713	3.602748
0.890001	14.345717	3.662042
0.940000	14.415314	2.826209
0.940002	10.681469	2.884956
0.989999	11.652440	2.235125
0.990001	14.490025	2.059325
1.040000	12.965747	1.666819
1.089999	13.742425	1.330638
1.140000	14.486091	0.970142
1.189999	15.084451	1.198918
1.240000	15.397519	0.973560
1.290000	15.748556	0.848151
30.000000	61
0.049999	0.001490	0.594918
0.100000	0.359547	0.451984
0.100000	0.418343	0.712585
0.144999	0.873161	0.893408
0.150000	1.008929	0.801630
0.155003	1.762222	0.849781
0.194999	2.531394	1.128099
0.199999	1.434825	0.934277
0.244999	2.447832	0.744340
0.250000	1.655646	1.025437
0.254999	3.069221	1.083231
0.294999	3.346352	1.197044
0.299999	1.751536	0.943619
0.344999	2.654894	0.662010
0.344999	1.992358	0.649047
0.394999	2.175227	0.353196
0.395000	1.951565	0.564823
0.445000	2.395127	0.601531
0.480000	2.630276	0.806987
0.494999	2.794417	0.949227
0.544999	3.639708	0.903565
0.545000	4.092622	1.050934
0.594999	4.246852	1.028867
0.594999	4.660672	1.141121
0.634999	5.593084	1.257424
0.644999	5.612808	1.464242
0.645000	6.782154	1.619415
0.694999	7.364890	1.952106
0.695000	7.990637	2.122723
0.744999	9.361510	2.210712
0.764999	10.819973	2.229489
0.790000	11.096312	2.130244
0.795000	12.777350	1.888120
0.840000	12.781145	1.632377
0.844999	14.068176	1.623695
0.884999	13.959957	1.407745
0.889999	15.282547	1.519507
0.894999	15.543724	1.234121
0.940000	16.158374	1.425513
0.944999	17.163284	1.213459
0.990000	16.720067	1.449896
0.990000	18.369545	1.389253
1.040000	17.279046	1.739764
1.040000	19.492111	1.687793
1.089999	18.113250	1.519112
1.090000	20.603511	1.891940
1.100000	19.155411	1.661447
1.140000	20.087048	1.728492
1.189999	19.813446	1.680143
1.190000	22.614458	2.696732
1.239999	22.623361	2.514802
1.240000	19.560634	2.233445
1.260000	19.766689	2.477209
1.289999	20.158425	2.304893
1.290000	22.840844	2.308381
1.314999	23.068611	2.190334
1.339999	23.260668	1.868236
1.340000	20.758051	2.078464
1.384999	21.072100	1.797884
1.390000	23.032941	1.506901
1.440000	22.927501	1.649257
40.000000	76
0.029999	0.008272	0.559289
0.050000	0.005078	0.971304
0.099999	0.910338	0.991038
0.100000	0.361374	1.079770
0.125000	1.686529	1.060039
0.149999	2.451029	1.316048
0.150000	0.926821	1.126157
0.199999	2.314774	0.790930
0.200001	1.599407	1.082035
0.235000	2.344739	0.855784
0.245001	3.264039	0.959166
0.249999	3.016764	0.716174
0.295001	3.073132	0.683998
0.299999	2.312624	0.640445
0.345001	2.778468	0.624735
0.349999	1.819441	0.919919
0.395001	2.458937	0.505915
0.399999	1.799027	1.050006
0.445001	3.209916	0.973176
0.449999	2.397409	1.244100
0.485000	3.493488	1.082845
0.495001	3.883600	1.018154
0.499999	4.600712	2.089117
0.545001	4.719940	1.907915
0.549999	5.363909	1.867862
0.595000	8.959041	3.209129
0.595001	5.832725	2.015131
0.625000	7.508721	1.709832
0.645000	8.804793	1.589316
0.645001	7.053552	1.940868
0.695000	9.986937	1.820780
0.695001	8.411778	2.602245
0.710000	9.771611	2.301741
0.745000	11.091554	2.440416
0.795000	13.619403	2.978169
0.795001	12.212298	2.711572
0.819999	15.327599	2.492098
0.840000	13.554664	2.823909
0.845000	17.051278	2.862974
0.890001	14.564816	3.429547
0.895000	18.999901	3.314710
0.940000	16.285135	3.566592
0.944999	20.901735	3.688032
0.990000	17.651138	4.048144
0.995000	22.783449	3.939568
1.040000	19.347478	3.134844
1.044999	25.057564	4.563703
1.070000	20.774936	3.469912
1.090001	22.034774	4.135934
1.095000	27.260813	4.419045
1.140000	22.818287	4.940552
1.145000	29.568984	5.143332
1.189999	31.488305	5.871654
1.190000	23.908240	7.214453
1.239999	33.484527	6.583182
1.240001	24.510416	8.151710
1.289999	35.289483	8.444946
1.290000	25.408916	8.754032
1.339999	36.844048	8.999010
1.340000	26.407955	9.137765
1.389999	38.230374	9.377675
1.390000	27.369779	7.742538
1.439999	39.503988	9.638742
1.440001	28.131418	8.035955
1.485001	29.164999	7.794699
1.489999	40.417657	9.029106
1.535001	30.011622	7.311122
1.539999	40.390822	8.459401
1.585001	30.295731	7.073516
1.589999	40.030054	8.506628
1.635001	30.717139	5.504058
1.685001	31.205736	3.634609
1.735001	31.409084	3.536584
1.740000	31.467002	0.391975
1.785000	31.671857	0.290728
1.835001	31.770892	0.278724
50.000000	93
0.049999	0.017700	0.272741
0.050000	0.012009	0.585674
0.094999	0.366903	0.653532
0.100000	0.335801	0.683006
0.100000	1.080293	0.679930
0.149999	1.540671	0.736663
0.149999	1.101307	0.598329
0.195000	1.677800	0.382468
0.200000	1.487810	0.602111
0.224999	2.042993	0.690283
0.244999	1.685781	0.728998
0.245000	2.768251	0.834011
0.250000	2.979465	0.964201
0.294999	2.105804	0.535311
0.300000	2.174341	0.501549
0.344999	1.725913	0.593256
0.350000	1.667862	0.553885
0.395000	1.959749	0.461753
0.400000	2.095873	0.692738
0.444999	2.726470	0.905483
0.445000	2.657584	1.499321
0.494999	3.447743	1.472533
0.544999	4.239167	1.749918
0.560003	5.748666	1.857798
0.570000	5.476877	1.632737
0.594999	7.263528	1.709468
0.594999	6.849657	1.587152
0.644999	7.756165	1.610403
0.694999	8.840241	1.885182
0.694999	9.507125	1.875134
0.744999	10.005543	2.291763
0.764999	12.289464	2.248033
0.794999	11.099046	2.376741
0.840000	14.299142	2.498169
0.844999	12.395199	2.280066
0.890000	15.200962	2.202433
0.894999	13.758397	2.109294
0.940000	16.413332	2.155348
0.944999	14.995701	2.027147
0.990000	17.484443	2.260043
0.994999	16.184715	2.072563
1.014999	18.665254	2.001084
1.040000	20.002103	2.255588
1.044999	17.560308	2.052528
1.059999	18.735472	1.510319
1.089999	20.513096	1.471655
1.090000	20.030479	1.512485
1.140000	21.156028	1.178366
1.140000	20.969505	0.847450
1.189999	21.918688	1.061384
1.189999	21.574976	1.148493
1.240000	22.353925	1.339904
1.240000	23.103472	1.296569
1.290000	23.651247	1.508171
1.330000	24.765227	1.526343
1.340000	24.753693	1.301952
1.340000	25.864193	1.231740
1.390000	26.483864	1.145425
1.390000	26.169684	1.069575
1.434999	26.998968	1.024539
1.440000	27.568650	0.990662
1.484999	27.591679	1.323978
1.490000	28.837847	1.204867
1.534999	28.473455	1.506561
1.539999	30.002724	1.688292
1.584999	29.659577	1.504122
1.590000	31.327193	1.788189
1.620000	32.394641	1.937454
1.635000	30.714524	2.133967
1.640000	33.561454	1.744049
1.684999	34.393849	2.118382
1.685000	31.884723	2.552902
1.694999	33.025222	1.737144
1.725000	35.121353	1.788997
1.734999	35.989699	2.287677
1.734999	34.234644	1.916744
1.784999	36.626006	1.305583
1.834999	37.223676	1.588139
1.834999	35.670384	1.221524
1.884999	35.871435	1.182882
1.884999	37.502280	1.270488
1.934999	36.081693	1.193551
1.935000	37.675052	1.251968
1.960000	36.259783	1.309860
1.984999	38.017003	1.252649
1.984999	36.465527	1.291583
2.034999	38.153391	1.157094
2.060000	38.214283	1.014509
2.080000	36.901102	1.089404
2.085000	38.243017	0.864897
2.129999	37.052677	0.919022
2.134999	38.248209	1.062717
2.180000	37.119737	0.920091
