20.000000	41
0.040001	0.013501	0.200088
0.050000	0.193344	0.371720
0.050001	0.053174	0.606188
0.080001	0.307079	0.858499
0.100001	0.891754	1.042707
0.150000	1.077096	0.973777
0.175000	2.130198	1.351548
0.200000	2.741752	1.632209
0.200001	0.711512	1.194198
0.250001	0.515608	1.376567
0.250001	2.159113	1.407453
0.300000	0.318402	1.027815
0.300001	1.529816	0.885103
0.350000	0.437141	1.152914
0.350000	1.447631	0.730340
0.400000	0.750332	1.014220
0.445000	2.075086	0.978977
0.445002	1.315523	1.125303
0.495000	2.454894	1.062583
0.495001	1.630510	0.913113
0.500000	3.614790	1.836376
0.545000	1.821192	1.062541
0.595000	1.859537	1.387173
0.645000	1.780015	1.441562
0.645000	3.586373	1.522890
0.680000	4.188137	1.880695
0.695000	1.959482	1.628559
0.745000	4.829560	2.095048
0.745001	2.124112	1.671535
0.795000	1.905792	1.661999
0.795000	4.306863	1.825484
0.845000	1.536449	1.606014
0.845001	3.345557	1.249748
0.895000	3.537272	1.212282
0.895001	1.742743	2.070559
0.945000	4.049511	1.035774
0.995000	4.375557	1.141302
1.040000	4.506526	1.180308
1.090001	4.256115	0.212149
1.140001	4.167555	0.232418
1.190001	3.943808	0.393382
30.000000	62
0.050000	0.020795	0.268441
0.050001	0.012385	0.491476
0.095000	0.286024	0.451325
0.100000	0.402587	0.471676
0.145000	0.872029	0.487093
0.150000	1.004536	0.392382
0.195000	1.066319	0.297258
0.200000	1.127925	0.169969
0.245001	0.911909	0.190968
0.250001	0.923383	0.188757
0.295000	1.109620	0.408017
0.300000	0.594881	0.414349
0.345000	1.017074	0.466084
0.350001	0.302627	0.739033
0.395000	1.136244	0.679584
0.400000	0.253412	0.883046
0.445001	1.457006	0.944165
0.450000	0.194685	1.144456
0.495000	1.617793	0.988632
0.495001	0.537628	1.229416
0.525000	1.992572	1.148729
0.545000	0.814973	1.146573
0.545001	2.716020	1.399354
0.595000	1.273101	0.846409
0.595001	2.213448	0.778590
0.630000	1.986770	0.513137
0.645001	1.581873	0.566248
0.645002	2.520660	0.654372
0.695000	2.182640	0.573620
0.695001	1.428866	0.966693
0.720001	2.473685	0.663719
0.740000	3.081423	1.251049
0.745000	1.456685	1.023289
0.790000	2.720549	0.872611
0.795001	1.434415	1.029950
0.840000	2.461694	0.698894
0.845000	1.691457	0.721295
0.890000	2.370440	0.504205
0.895000	2.018097	0.468029
0.940001	2.605527	0.475538
0.945000	2.349605	0.272427
0.990000	2.675148	0.325456
0.995000	2.380558	0.310400
1.040000	2.752759	0.252348
1.045000	2.661605	0.196800
1.090000	2.851955	0.288156
1.090001	2.991166	0.477425
1.140000	2.653914	0.342127
1.140000	2.438053	0.443138
1.180001	2.117603	0.498493
1.190000	2.190167	0.360549
1.190001	1.737874	0.672806
1.240000	1.683915	0.728740
1.240001	2.383398	0.549222
1.290000	2.945096	0.774730
1.290000	2.495846	0.542900
1.335001	3.117159	0.444689
1.340000	2.865494	0.222538
1.385001	3.105823	0.413893
1.390000	2.706084	0.308161
1.435000	2.952998	0.288632
1.440000	2.461822	0.488418
40.000000	62
0.050000	0.000925	0.655571
0.100000	0.446882	0.465770
0.100001	0.250962	0.658353
0.150000	1.014791	0.574388
0.150001	1.001844	0.409908
0.200000	1.209598	0.522900
0.250000	0.927988	0.280827
0.295000	1.297748	0.548482
0.300000	0.465704	0.560774
0.345001	1.102515	0.459042
0.350000	0.379851	0.591847
0.395000	0.586234	0.551953
0.395001	1.064754	0.454479
0.445000	0.846611	0.929538
0.495000	1.685081	0.779293
0.495001	1.392498	0.689393
0.500000	2.808746	1.251911
0.545000	1.669085	0.605356
0.595000	1.920041	0.485309
