20.000000	89
0.015001	0.008856	0.179012
0.025000	0.016964	0.213358
0.049999	0.017689	0.252124
0.050000	0.318682	0.303077
0.050000	0.318605	0.635075
0.070000	0.387292	1.043253
0.100000	0.837147	0.915995
0.145000	1.720311	0.974664
0.149999	2.486081	1.339107
0.150000	1.728920	0.606919
0.150001	0.951126	1.083431
0.150002	2.140322	0.567400
0.160000	1.988268	0.514427
0.195001	1.951319	0.642061
0.199999	2.552422	0.449002
0.200000	2.307842	0.500292
0.214999	2.924738	0.529567
0.220000	2.954611	0.426283
0.220001	2.951133	0.447343
0.245000	3.387699	0.352870
0.245001	3.521859	0.452908
0.250000	3.470597	0.368101
0.295000	3.027495	0.361394
0.295001	2.957736	0.400509
0.300000	3.198049	0.524033
0.340000	2.604176	0.346949
0.345000	2.517779	0.360891
0.345001	2.378849	0.402796
0.350000	2.688544	0.432431
0.395000	2.254725	0.484382
0.395001	2.031016	0.625645
0.400000	3.296200	1.079806
0.400000	2.239298	0.464257
0.445000	2.349040	0.477029
0.445000	1.907989	0.705974
0.449999	2.135669	0.288243
0.450000	2.688142	0.624480
0.495000	2.221839	0.343538
0.495000	2.414499	0.456746
0.495001	1.678848	0.807871
0.499999	1.992085	0.715645
0.510000	2.999599	0.956538
0.544999	2.146538	0.639772
0.545000	3.297690	1.094460
0.545001	1.746041	1.056483
0.594999	2.147567	0.651948
0.595000	2.716275	0.654780
0.595000	2.952250	0.756506
0.595001	1.838916	1.141401
0.604999	3.095950	0.663920
0.644999	3.076769	0.763252
0.644999	3.451315	1.041624
0.645000	2.216658	0.893798
0.645001	2.043768	0.958709
0.694999	3.079946	0.812306
0.694999	3.206994	0.905797
0.695000	1.944705	0.886021
0.695001	2.244909	0.755710
0.720000	2.974987	0.542375
0.744999	2.761180	0.531094
0.745000	3.200953	0.584215
0.745001	3.116160	0.563741
0.760000	3.388932	0.950953
0.784999	2.280714	0.699285
0.790000	2.125545	0.764591
0.794999	1.940566	0.744826
0.795000	2.134910	0.567940
0.840001	1.191871	0.678933
0.844999	1.245875	0.534776
0.845000	1.691614	0.628087
0.845000	1.629394	0.666334
0.890000	0.938877	0.464042
0.890001	0.618515	0.633461
0.894999	0.722236	0.392646
0.895000	0.869805	0.196085
0.905000	0.858697	0.231166
0.910000	0.658985	0.180199
0.920000	0.559267	0.214377
0.940000	0.520094	0.210723
0.945000	0.381020	0.326636
0.990000	0.774683	0.331213
0.994999	0.303781	0.476792
1.015001	0.973332	0.492750
