20.000000	48
0.049999	0.008080	0.261171
0.050000	0.010637	0.666589
0.095001	0.382970	0.950044
0.099999	0.261225	0.950703
0.120000	1.265997	0.910986
0.145001	2.237473	1.365069
0.149999	0.866364	0.973140
0.195001	1.980609	0.660651
0.200000	1.264817	0.867500
0.219999	2.235987	0.820042
0.245001	1.508390	0.709619
0.249999	2.641644	0.996177
0.285001	1.560263	0.648934
0.295000	2.468953	1.032945
0.299999	1.453982	0.795539
0.345001	1.807250	0.752206
0.349999	0.692549	0.951708
0.395000	0.653536	0.683137
0.395001	1.362706	0.525803
0.445000	0.769345	0.421515
0.445001	1.210695	0.323070
0.495000	0.996680	0.352406
0.495001	1.438815	0.544040
0.545000	1.219596	0.542087
0.545001	1.514854	0.698743
0.560000	2.451892	0.932518
0.595000	1.463698	0.779781
0.595001	2.813826	0.983279
0.644999	1.622983	0.937907
0.645001	2.336280	0.648776
0.685000	2.097094	0.609443
0.690000	3.176647	1.061199
0.695000	1.822672	0.958676
0.719999	2.535369	0.573291
0.740000	2.700360	0.560636
0.745000	3.259244	1.339019
0.790001	1.979043	0.885894
0.795000	2.870129	1.456662
0.840001	0.796031	1.481802
0.844999	1.763207	1.101346
0.865001	0.374181	1.209654
0.890000	0.255466	0.804014
0.895000	0.831646	0.539880
0.945000	0.842256	0.594467
0.969999	1.044605	0.724101
0.989999	1.374134	0.604089
1.039999	1.952651	0.789537
1.089999	2.270885	0.896140
30.000000	64
0.050000	0.024153	0.749328
0.050001	0.005793	0.938734
0.090001	0.223933	0.936280
0.100000	1.306427	0.895840
0.100000	1.341950	0.748194
0.150000	1.592818	0.647698
0.150001	1.779951	0.350440
0.190000	1.601662	0.330469
0.200000	2.273391	0.775216
0.245001	1.677534	0.355705
0.250001	1.287072	0.485632
0.280000	1.215087	0.531619
0.295001	1.530742	0.491706
0.300001	0.931795	0.664640
0.320001	1.635531	0.858247
0.345001	0.581864	0.979710
0.350000	2.143229	1.460474
0.395001	0.096518	1.327238
0.400000	1.557845	0.960745
0.445001	0.117637	1.289976
0.450000	1.377262	0.881507
0.495001	1.584156	0.865720
0.495001	0.380771	0.992018
0.545001	0.771492	0.924492
0.595000	1.143601	0.718723
0.595001	2.011615	0.936804
0.645001	2.278710	0.850079
0.645001	1.521743	0.702608
0.695000	1.954261	0.374862
0.695001	2.440027	0.465609
0.745001	2.509501	0.530991
0.745001	2.011211	0.484584
0.795000	2.357524	0.293418
0.795001	2.146818	0.727636
0.825001	2.925098	0.704664
0.840000	2.343757	0.665272
0.845001	3.675834	1.076975
0.890000	2.364118	0.744618
0.895000	3.053506	0.596742
0.920001	3.256983	0.621266
0.940000	2.500332	0.678977
0.945001	3.703820	0.793391
0.990001	2.529249	0.948179
0.995000	3.148220	0.590484
1.000000	3.571345	0.593162
1.040000	3.948801	0.947972
1.045001	2.747614	0.751534
1.090000	3.657898	0.673624
1.140000	2.916375	0.652914
1.140000	3.247471	0.793818
1.170000	2.616949	0.727929
1.190000	2.071235	0.702628
1.190001	2.034267	0.653921
1.215001	1.631466	0.478000
1.240000	1.461516	0.547179
1.240000	1.521789	0.620157
1.290000	1.687769	0.752502
1.340000	2.467955	0.705533
1.390000	2.573687	0.666060
1.390000	3.074168	0.666867
1.440000	2.769855	0.310808
1.440001	3.259494	0.417082
1.485001	3.038957	0.177116
1.500000	2.982495	0.204232
40.000000	80
0.049999	0.007029	0.147167
0.050000	0.001100	0.462169
0.094999	0.170941	0.848631
0.100000	0.202149	0.815114
0.104999	0.887158	0.836969
0.144999	1.911981	1.185702
0.150000	0.919251	0.788705
0.194999	2.063808	0.767999
0.200000	1.262550	0.745566
0.219999	1.815736	0.655946
0.244999	1.720566	0.536974
0.250000	2.542312	1.308990
0.295000	0.881189	0.951554
0.300000	1.837095	0.846192
0.344999	0.497049	1.070012
0.349999	1.065981	0.626606
0.384999	1.143385	0.703411
0.394999	0.455386	0.907924
0.400000	2.078181	1.298524
0.444999	0.296885	1.096468
0.449999	1.655167	0.883971
0.494999	0.583796	0.915713
0.500000	1.467998	0.670890
0.544999	1.449691	0.494347
0.545000	0.774185	0.698134
0.594999	1.642620	0.467596
0.594999	1.024941	0.592195
0.644999	1.838777	0.705224
0.644999	1.378088	0.726861
0.690000	1.856994	0.676003
0.694999	2.806926	0.910143
0.695000	2.079590	0.529089
0.740000	2.788639	0.632474
0.745000	2.058896	0.483188
0.790000	2.404793	0.390930
0.794999	2.197681	0.468838
0.825000	2.470500	0.358976
0.839999	3.109780	0.771179
0.844999	2.164330	0.449071
0.890000	2.620832	0.389434
0.894999	2.274465	0.389406
0.940000	2.191550	0.217192
0.944999	2.252546	0.195626
0.989999	2.004990	0.318524
0.994999	2.420921	0.221793
1.040000	2.240390	0.208260
1.045000	2.465019	0.330723
1.089999	2.339321	0.662101
1.095000	2.574808	0.557251
1.114999	3.068660	0.537255
1.140000	3.757288	0.931088
1.144999	2.778966	0.769180
1.170000	3.251750	0.471897
1.190000	4.082506	0.806442
1.190000	3.516785	0.447572
1.240000	3.502965	0.420242
1.240000	3.215874	0.423168
1.290000	3.096637	0.271239
1.290000	2.860370	0.334703
1.334999	3.116855	0.154152
1.340000	2.925327	0.486344
1.385000	2.944138	0.490632
1.385000	3.124915	0.461608
1.389999	4.069330	0.897427
1.434999	3.273341	0.391489
1.440000	3.665248	0.443177
1.484999	3.315247	0.398579
1.489999	3.258162	0.533227
1.534999	3.134796	0.704967
1.540000	2.841463	0.678044
1.574999	2.097162	0.775873
1.584999	1.914148	0.689818
1.590000	1.913881	0.564809
1.619999	1.344700	0.549295
1.634999	1.530180	0.700662
1.640000	1.173032	1.321389
1.684999	2.074109	1.075284
1.734999	3.011089	1.187798
1.784999	3.535265	1.413543
1.834999	3.585622	0.934041
50.000000	100
0.005001	0.002049	0.283515
0.049998	0.011094	0.526059
0.050000	0.382470	0.419469
0.094999	0.312436	0.605109
0.100000	0.948188	0.726187
0.144999	0.904189	0.645161
0.150000	1.430710	0.795430
0.160000	2.100124	0.907992
0.194999	1.311146	0.699685
0.200000	2.685004	1.223810
0.244999	1.218766	0.872958
0.250000	1.799963	0.714084
0.289998	1.184907	0.834673
0.294999	2.358160	1.131743
0.300000	0.795181	0.916552
0.325001	1.036821	0.650349
0.344999	1.644086	0.668751
0.345001	1.605736	0.617725
0.394999	1.174773	0.470786
0.395001	0.715469	0.638935
0.444999	1.032094	0.437278
0.445001	0.354101	0.759271
0.494998	1.309375	0.560169
0.495000	0.630797	0.655935
0.544999	1.452320	0.590682
0.545001	1.065083	0.519710
0.594999	1.640716	0.499569
0.595000	1.533388	0.340649
0.644999	1.884655	0.383496
0.645001	1.839734	0.200208
0.689999	2.024931	0.226109
0.695001	1.962929	0.309862
0.739999	2.075428	0.295030
0.745001	1.955877	0.671077
0.769999	2.696573	0.602847
0.775001	2.302112	0.654189
0.789999	3.375187	0.914290
0.795001	2.999464	0.459090
0.839998	3.078721	0.675835
0.845001	2.298134	0.676120
0.889998	2.782150	0.550538
0.895001	1.918572	0.762032
0.939998	2.619479	0.496265
0.940000	1.959429	0.717268
0.989998	2.787729	0.810685
0.990001	1.992816	1.060173
1.034999	3.093201	0.884173
1.039998	4.109939	1.493298
1.040001	2.151012	1.226932
1.075001	2.669522	0.875525
1.089998	3.659124	0.800280
1.090000	3.469640	0.670761
1.139999	3.345250	0.647079
1.140000	3.157801	0.719190
1.164999	3.884293	0.677931
1.189998	4.616456	1.322308
1.190000	2.904363	1.106507
1.239998	4.404794	1.095530
1.240000	2.817784	1.165978
1.289998	3.968128	0.844371
1.290000	3.017414	0.838788
1.334999	3.833939	0.657203
1.340000	3.125308	0.615460
1.384999	3.838694	0.536138
1.390000	3.224004	0.704086
1.434998	3.853277	0.521081
1.435001	3.434764	0.632104
1.440001	4.556074	0.864857
1.484999	4.037494	0.378091
1.490001	4.062442	0.380143
1.534998	3.885551	0.353629
1.540000	3.627781	0.325402
1.584999	3.969931	0.333699
1.585001	3.469888	0.354724
1.634999	3.892508	0.328195
1.635000	3.441399	0.354478
1.684999	3.827384	0.281735
1.685000	3.463732	0.275140
1.734999	3.788945	0.246464
1.735000	3.579393	0.410826
1.784999	3.599678	0.390129
1.785001	3.550822	0.503865
1.790000	4.524196	0.975595
1.834999	3.636680	0.624361
1.835001	4.263947	1.277142
1.884999	3.054345	1.092152
1.885001	2.736705	1.002809
1.929998	2.023144	1.077368
1.935001	1.629638	0.759353
1.974999	1.709249	0.543957
1.979998	1.680777	0.418246
1.985001	1.428356	1.004283
2.029998	2.440746	0.788521
2.035001	2.217126	0.903660
2.079998	3.482932	1.097982
2.085001	3.116659	0.625841
