20.000000	78
0.049999	0.318724	0.193826
0.050001	0.012117	0.746840
0.065000	0.372799	0.510623
0.100000	0.193129	0.888445
0.100001	1.417186	1.083820
0.149999	0.154532	1.173060
0.150001	1.969467	1.228579
0.200000	0.652069	1.014830
0.200001	1.907089	0.965723
0.230000	1.219385	0.567631
0.249999	1.961217	0.882393
0.250001	1.221938	0.585608
0.300000	1.379067	0.654014
0.300001	0.728675	0.681366
0.345000	0.342366	0.601782
0.350000	0.554713	0.479302
0.395000	0.080153	0.376996
0.400000	0.094626	0.574383
0.445000	0.122759	0.617813
0.450000	0.449188	0.776354
0.494999	1.351499	1.065401
0.495000	0.818900	1.102614
0.545000	1.964790	1.206627
0.594999	2.850497	1.275119
0.595000	1.793135	1.738445
0.645000	3.948601	1.589928
0.645000	2.328129	2.072744
0.694999	5.125445	2.286258
0.695000	2.778574	2.543918
0.744999	6.144501	2.743563
0.745001	3.003809	2.939032
0.794999	7.291807	3.332649
0.795001	3.489331	2.973443
0.844999	7.338414	3.182314
0.845001	3.812469	2.980992
0.894999	7.537026	2.785952
0.895000	3.506363	3.313129
0.934999	7.647750	2.908820
0.944999	7.659767	2.460123
0.945000	4.165551	2.850301
0.990000	5.046055	2.133355
0.994999	7.580806	1.939619
1.004999	7.562057	2.021771
1.040001	5.466069	1.735333
1.045000	7.509354	1.026450
1.090001	6.057890	1.430757
1.094999	7.587702	1.070262
1.140000	7.669997	0.663070
1.190000	7.677662	0.666078
1.240000	7.688232	0.091422
1.290000	7.748197	0.066897
1.340000	7.835961	0.111170
1.364999	7.807303	0.072394
1.390000	7.717066	0.120022
1.440000	7.768060	0.116187
1.490000	7.864487	0.090519
1.540000	7.914171	0.115977
1.590000	7.972017	0.131187
1.639999	7.835687	0.075668
1.690000	7.821805	0.085536
1.734999	7.897166	0.115519
1.784999	7.905021	0.161441
1.835000	7.819231	0.167259
1.884999	7.654534	0.173012
1.890000	7.632109	0.150272
1.935000	7.515465	0.185942
1.985000	7.549578	0.123311
2.035000	7.703341	0.317328
2.085000	7.729393	1.023039
2.135000	7.677118	1.875673
2.184999	8.437372	2.040751
2.234999	10.116212	1.984183
2.284999	11.493141	2.136281
2.334999	11.786064	1.646466
2.380000	12.231149	1.097625
2.430000	12.470904	0.724129
2.480000	13.014904	0.800062
2.530000	13.389256	0.880289
30.000000	131
0.044999	0.024407	0.139460
0.049999	0.097049	0.405806
0.070000	0.225762	0.371494
0.094999	0.136330	0.594422
0.100000	0.894123	0.556218
0.144999	0.647928	0.451425
0.150000	1.259704	0.622092
0.194999	0.969780	0.602053
0.200000	1.142175	0.784710
0.209999	1.933668	0.656273
0.210000	1.981035	0.640448
0.244999	2.583236	0.970294
0.250000	2.321246	0.825477
0.295000	1.476965	0.749136
0.300000	1.360489	0.767421
0.344999	0.865908	0.833655
0.344999	0.588406	0.805489
0.349999	1.871525	0.942274
0.394999	1.453786	0.700902
0.394999	0.401471	1.252625
0.400000	2.141528	0.876910
0.444999	1.140354	0.930896
0.445000	1.994361	0.843876
0.495000	2.268506	0.638692
0.495002	2.385670	0.869268
0.544999	2.863958	0.671181
0.545000	3.114242	0.730003
0.594999	3.819727	0.857024
0.595000	3.486252	1.141215
0.644999	4.233438	1.316634
0.644999	4.630192	1.173569
0.660000	5.790703	1.346378
0.690000	6.649348	1.416595
0.694999	5.476918	1.133580
0.740000	6.769640	0.808867
0.745000	6.671676	0.829620
0.790000	7.033019	1.105073
0.794999	7.866322	0.859026
0.840000	7.736724	1.262387
0.844999	8.908153	1.246129
0.889999	7.898860	1.802204
0.894999	10.289539	1.995605
0.940000	8.262917	2.433926
0.944999	11.447625	2.706765
0.990000	8.214484	3.460688
0.994999	12.817387	3.526541
0.999999	14.195849	4.599144
1.004999	7.849354	4.367608
1.040000	14.874398	5.035424
1.040000	7.797045	4.849624
